index,frequency_Hz,rcs_m2
1,10000000.0,5.455426268941609e-14
2,10161742.341766687,5.817031218240042e-14
3,10326100.742045373,6.202604617232474e-14
4,10493117.513579087,6.613735178644818e-14
5,10662835.653486999,7.05211692058734e-14
6,10835298.85433383,7.519556146555331e-14
7,11010551.515377995,8.017978888086533e-14
8,11188638.754001994,8.549438840743687e-14
9,11369606.417327372,9.116125826119361e-14
10,11553501.094017759,9.720374814731027e-14
11,11740370.126272801,1.0364675546983559e-13
12,11930261.622015879,1.1051682791839915e-13
13,12123224.467279289,1.1784227285471496e-13
14,12319308.338789385,1.2565327394956713e-13
15,12518563.716755528,1.3398201555088378e-13
16,12721041.89786588,1.4286281529533472e-13
17,12926795.008493152,1.5233226550984182e-13
18,13135876.018114313,1.6242938398565915e-13
19,13348338.752946954,1.731957747462223e-13
20,13564237.909806622,1.8467579947123133e-13
21,13783629.070187883,1.9691676028324624e-13
22,14006568.714573413,2.0996909464997838e-13
23,14233114.236974526,2.238865832053235e-13
24,14463323.9597066,2.3872657134541283e-13
25,14697257.14840392,2.5455020551277834e-13
26,14934974.027276894,2.714226851421389e-13
27,15176535.794616535,2.894135313059744e-13
28,15422004.63854926,3.0859687316673353e-13
29,15671443.753046796,3.2905175341599743e-13
30,15924917.354195068,3.5086245395909687e-13
31,16182490.696725883,3.7411884318707397e-13
32,16444230.090816492,3.9891674626692776e-13
33,16710202.919160381,4.2535833997578173e-13
34,16980477.6543145,4.5355257370586704e-13
35,17255123.876327075,4.836156183749905e-13
36,17534212.29065018,5.15671345092077e-13
37,17817814.746342584,5.498518355501448e-13
38,18106004.254566394,5.862979262495513e-13
39,18398855.00738351,6.25159788794018e-13
40,18696442.396855507,6.665975486502843e-13
41,18998843.034452807,7.107819449209758e-13
42,19306134.77077782,7.578950338490958e-13
43,19618396.71560667,8.081309389527348e-13
44,19935709.258255683,8.616966508808914e-13
45,20258154.08827669,9.188128802858653e-13
46,20585814.21648748,9.797149672264471e-13
47,20918773.996342346,1.0446538508488287e-12
48,21257119.14564795,1.1138971033405027e-12
49,21600936.76863101,1.1877300324175073e-12
50,21950315.37836222,1.2664568568873e-12
51,22305344.919543583,1.3504019601311487e-12
52,22666116.79166365,1.4399112266704274e-12
53,23032723.872527696,1.535353467324016e-12
54,23405260.54216851,1.637121938828744e-12
55,23783822.70714344,1.7456359641838937e-12
56,24168507.825225152,1.8613426603962924e-12
57,24559414.930490945,1.9847187807443228e-12
58,24956644.65881868,2.116272679151721e-12
59,25360299.273794327,2.2565464047644974e-12
60,25770482.693039026,2.4061179353612784e-12
61,26187300.51496203,2.565603558799208e-12
62,26610860.04594577,2.7356604123070544e-12
63,27041270.327971455,2.9169891900885293e-12
64,27478642.166690674,3.110337030390891e-12
65,27923088.159951556,3.3165005939346866e-12
66,28374722.72678638,3.5363293463880203e-12
67,28833662.13686741,3.770729058409444e-12
68,29300024.540440053,4.020665537680744e-12
69,29773929.99873921,4.287168608305425e-12
70,30255500.51489856,4.571336353969303e-12
71,30744860.065358855,4.8743396423448645e-12
72,31242134.63178482,5.197426949380938e-12
73,31747452.23349832,5.541929503354366e-12
74,32260942.96043546,5.909266769876843e-12
75,32782739.0066377,6.300952300457098e-12
76,33312974.704283606,6.71859996871327e-12
77,33851786.55827213,7.163930619930762e-12
78,34399313.28136423,7.638779161360668e-12
79,34955695.82989354,8.14510212247223e-12
80,35521077.44005464,8.684985716307562e-12
81,36095603.6647776,9.26065443515089e-12
82,36679422.411199935,9.874480215928103e-12
83,37272683.978743635,1.052899221309619e-11
84,37875541.09780873,1.1226887219288404e-11
85,38488148.969092734,1.1971040776647339e-11
86,39110665.303545274,1.2764519024623185e-11
87,39743250.36297013,1.3610591333051781e-11
88,40386067.0012827,1.4512743772556969e-11
89,41039280.70643608,1.547469347777708e-11
90,41703059.643023945,1.6500403962587964e-11
91,42377574.6955738,1.759410145042213e-11
92,43062999.51253928,1.8760292286959975e-11
93,43759510.551004775,2.0003781506933348e-11
94,44467287.12211314,2.1329692631532438e-11
95,45186511.43722727,2.2743488777976502e-11
96,45917368.65483971,2.4250995168218738e-11
97,46660046.92823952,2.5858423129511703e-11
98,47414737.45395112,2.7572395685714133e-11
99,48181634.5209566,2.9399974844766267e-11
100,48960935.56071311,3.134869069474927e-11
101,49752841.19798088,3.342657242839903e-11
102,50557555.30247164,3.564218142388069e-11
103,51375285.04133359,3.8004646518108265e-11
104,52206240.93248523,4.052370161792216e-11
105,53050636.89881073,4.3209725804062544e-11
106,53908690.32323352,4.607378609315797e-11
107,54780622.10467891,4.9127683033879266e-11
108,55666656.71494358,5.238399932510319e-11
109,56567022.2564832,5.585615165635599e-11
110,57481950.52113639,5.955844598410434e-11
111,58411677.04979694,6.35061364715869e-11
112,59356441.19305219,6.77154883349927e-11
113,60316486.172802284,7.220384485487034e-11
114,61292059.14487486,7.698969882880246e-11
115,62283411.262654305,8.209276875969466e-11
116,63290797.741738245,8.753408009349957e-11
117,64314477.92564117,9.333605184102798e-11
118,65354715.352560684,9.952258894065208e-11
119,66411777.8232224,1.0611918074234698e-10
120,67485937.46982409,1.1315300601875717e-10
121,68577470.82609306,1.2065304493580663e-10
122,69686658.89847782,1.2865019844408669e-10
123,70813787.23849143,1.3717741558277948e-10
124,71959146.01622345,1.4626982922046263e-10
125,73123030.09504296,1.5596490079192086e-10
126,74305739.10750763,1.6630257462707273e-10
127,75507577.5325029,1.7732544250770176e-10
128,76728854.77362643,1.8907891912971036e-10
129,77969885.23884268,2.016114291936082e-10
130,79230988.4214237,2.1497460689374915e-10
131,80512488.98220058,2.2922350862795734e-10
132,81814716.83314516,2.4441683980356684e-10
133,83138007.22230212,2.6061719667394756e-10
134,84482700.82009722,2.7789132420152836e-10
135,85849143.80703892,2.9631039100922214e-10
136,87237687.9628403,3.159502825526057e-10
137,88648690.75698245,3.3689191372017986e-10
138,90082515.4407408,3.592215621489827e-10
139,91539531.14070272,3.830312236282293e-10
140,93020112.95379491,4.084189910544159e-10
141,94524642.04384957,4.354894584984485e-10
142,96053505.7397326,4.6435415204861617e-10
143,97607097.63505682,4.951319892034553e-10
144,99185817.68951121,5.279497687061765e-10
145,100790072.33182575,5.629426928374545e-10
146,102420274.56440367,6.00254924317148e-10
147,104076844.06964704,6.400401801078879e-10
148,105760207.31799816,6.824623645652437e-10
149,107470797.6777325,7.276962445413675e-10
150,109209055.52652554,7.759281692214231e-10
151,110975428.36482394,8.273568376562793e-10
152,112770370.93105273,8.821941171513399e-10
153,114594345.31868137,9.406659158803149e-10
