theta   d_times   d_db
0.000000   0.000000   -90.000000
0.001572   0.000000   -90.000000
0.003143   0.000000   -89.999996
0.004715   0.000000   -89.999956
0.006286   0.000000   -89.999754
0.007858   0.000000   -89.999062
0.009429   0.000000   -89.997200
0.011001   0.000000   -89.992943
0.012573   0.000000   -89.984292
0.014144   0.000000   -89.968215
0.015716   0.000000   -89.940382
0.017287   0.000000   -89.894936
0.018859   0.000000   -89.824354
0.020431   0.000000   -89.719506
0.022002   0.000000   -89.570014
0.023574   0.000000   -89.365000
0.025145   0.000000   -89.094249
0.026717   0.000000   -88.749628
0.028288   0.000000   -88.326456
0.029860   0.000000   -87.824424
0.031432   0.000000   -87.247753
0.033003   0.000000   -86.604531
0.034575   0.000000   -85.905462
0.036146   0.000000   -85.162433
0.037718   0.000000   -84.387231
0.039290   0.000000   -83.590646
0.040861   0.000000   -82.781970
0.042433   0.000000   -81.968833
0.044004   0.000000   -81.157259
0.045576   0.000000   -80.351850
0.047147   0.000000   -79.556013
0.048719   0.000000   -78.772184
0.050291   0.000000   -78.002039
0.051862   0.000000   -77.246669
0.053434   0.000000   -76.506718
0.055005   0.000000   -75.782500
0.056577   0.000000   -75.074085
0.058149   0.000000   -74.381362
0.059720   0.000000   -73.704099
0.061292   0.000000   -73.041972
0.062863   0.000000   -72.394600
0.064435   0.000000   -71.761563
0.066006   0.000000   -71.142420
0.067578   0.000000   -70.536718
0.069150   0.000000   -69.944005
0.070721   0.000000   -69.363830
0.072293   0.000000   -68.795752
0.073864   0.000000   -68.239341
0.075436   0.000000   -67.694180
0.077008   0.000000   -67.159867
0.078579   0.000000   -66.636016
0.080151   0.000000   -66.122254
0.081722   0.000000   -65.618226
0.083294   0.000000   -65.123591
0.084865   0.000000   -64.638023
0.086437   0.000000   -64.161212
0.088009   0.000000   -63.692859
0.089580   0.000000   -63.232681
0.091152   0.000001   -62.780407
0.092723   0.000001   -62.335778
0.094295   0.000001   -61.898546
0.095867   0.000001   -61.468475
0.097438   0.000001   -61.045340
0.099010   0.000001   -60.628924
0.100581   0.000001   -60.219022
0.102153   0.000001   -59.815436
0.103724   0.000001   -59.417978
0.105296   0.000001   -59.026466
0.106868   0.000001   -58.640728
0.108439   0.000001   -58.260597
0.110011   0.000002   -57.885915
0.111582   0.000002   -57.516529
0.113154   0.000002   -57.152294
0.114725   0.000002   -56.793067
0.116297   0.000002   -56.438715
0.117869   0.000002   -56.089108
0.119440   0.000003   -55.744121
0.121012   0.000003   -55.403635
0.122583   0.000003   -55.067535
0.124155   0.000003   -54.735709
0.125727   0.000004   -54.408050
0.127298   0.000004   -54.084457
0.128870   0.000004   -53.764829
0.130441   0.000005   -53.449071
0.132013   0.000005   -53.137090
0.133584   0.000005   -52.828799
0.135156   0.000006   -52.524110
0.136728   0.000006   -52.222942
0.138299   0.000006   -51.925213
0.139871   0.000007   -51.630847
0.141442   0.000007   -51.339768
0.143014   0.000008   -51.051905
0.144586   0.000008   -50.767186
0.146157   0.000009   -50.485545
0.147729   0.000010   -50.206916
0.149300   0.000010   -49.931234
0.150872   0.000011   -49.658440
0.152443   0.000012   -49.388472
0.154015   0.000012   -49.121273
0.155587   0.000013   -48.856788
0.157158   0.000014   -48.594961
0.158730   0.000015   -48.335740
0.160301   0.000016   -48.079073
0.161873   0.000016   -47.824911
0.163445   0.000017   -47.573206
0.165016   0.000019   -47.323911
0.166588   0.000020   -47.076980
0.168159   0.000021   -46.832368
0.169731   0.000022   -46.590034
0.171302   0.000023   -46.349934
0.172874   0.000024   -46.112028
0.174446   0.000026   -45.876277
0.176017   0.000027   -45.642642
0.177589   0.000029   -45.411085
0.179160   0.000030   -45.181571
0.180732   0.000032   -44.954062
0.182304   0.000034   -44.728525
0.183875   0.000035   -44.504926
0.185447   0.000037   -44.283233
0.187018   0.000039   -44.063411
0.188590   0.000041   -43.845432
0.190161   0.000043   -43.629264
0.191733   0.000046   -43.414877
0.193305   0.000048   -43.202242
0.194876   0.000050   -42.991332
0.196448   0.000053   -42.782118
0.198019   0.000055   -42.574573
0.199591   0.000058   -42.368672
0.201163   0.000061   -42.164388
0.202734   0.000064   -41.961696
0.204306   0.000067   -41.760573
0.205877   0.000070   -41.560993
0.207449   0.000073   -41.362934
0.209020   0.000076   -41.166372
0.210592   0.000080   -40.971285
0.212164   0.000084   -40.777652
0.213735   0.000087   -40.585451
0.215307   0.000091   -40.394661
0.216878   0.000095   -40.205262
0.218450   0.000100   -40.017233
0.220021   0.000104   -39.830555
0.221593   0.000109   -39.645209
0.223165   0.000113   -39.461176
0.224736   0.000118   -39.278438
0.226308   0.000123   -39.096977
0.227879   0.000128   -38.916775
0.229451   0.000134   -38.737815
0.231023   0.000139   -38.560080
0.232594   0.000145   -38.383553
0.234166   0.000151   -38.208219
0.235737   0.000157   -38.034062
0.237309   0.000164   -37.861065
0.238880   0.000170   -37.689214
0.240452   0.000177   -37.518493
0.242024   0.000184   -37.348889
0.243595   0.000191   -37.180387
0.245167   0.000199   -37.012971
0.246738   0.000207   -36.846630
0.248310   0.000215   -36.681349
0.249882   0.000223   -36.517115
0.251453   0.000232   -36.353915
0.253025   0.000240   -36.191735
0.254596   0.000249   -36.030565
0.256168   0.000259   -35.870390
0.257739   0.000268   -35.711200
0.259311   0.000278   -35.552981
0.260883   0.000289   -35.395723
0.262454   0.000299   -35.239415
0.264026   0.000310   -35.084044
0.265597   0.000321   -34.929599
0.267169   0.000333   -34.776071
0.268741   0.000345   -34.623448
0.270312   0.000357   -34.471720
0.271884   0.000370   -34.320876
0.273455   0.000383   -34.170906
0.275027   0.000396   -34.021801
0.276598   0.000410   -33.873551
0.278170   0.000424   -33.726145
0.279742   0.000439   -33.579576
0.281313   0.000454   -33.433832
0.282885   0.000469   -33.288906
0.284456   0.000485   -33.144788
0.286028   0.000501   -33.001470
0.287600   0.000518   -32.858942
0.289171   0.000535   -32.717197
0.290743   0.000553   -32.576225
0.292314   0.000571   -32.436019
0.293886   0.000589   -32.296571
0.295457   0.000608   -32.157871
0.297029   0.000628   -32.019914
0.298601   0.000648   -31.882691
0.300172   0.000669   -31.746193
0.301744   0.000690   -31.610415
0.303315   0.000712   -31.475348
0.304887   0.000734   -31.340985
0.306459   0.000757   -31.207319
0.308030   0.000781   -31.074343
0.309602   0.000805   -30.942050
0.311173   0.000830   -30.810433
0.312745   0.000855   -30.679486
0.314316   0.000881   -30.549202
0.315888   0.000908   -30.419574
0.317460   0.000935   -30.290596
0.319031   0.000963   -30.162261
0.320603   0.000992   -30.034564
0.322174   0.001022   -29.907498
0.323746   0.001052   -29.781058
0.325317   0.001083   -29.655236
0.326889   0.001114   -29.530028
0.328461   0.001147   -29.405428
0.330032   0.001180   -29.281430
0.331604   0.001214   -29.158027
0.333175   0.001249   -29.035216
0.334747   0.001284   -28.912990
0.336319   0.001321   -28.791343
0.337890   0.001358   -28.670272
0.339462   0.001396   -28.549769
0.341033   0.001436   -28.429831
0.342605   0.001476   -28.310452
0.344176   0.001516   -28.191627
0.345748   0.001558   -28.073351
0.347320   0.001601   -27.955620
0.348891   0.001645   -27.838428
0.350463   0.001690   -27.721771
0.352034   0.001736   -27.605643
0.353606   0.001782   -27.490042
0.355178   0.001830   -27.374961
0.356749   0.001879   -27.260396
0.358321   0.001929   -27.146343
0.359892   0.001980   -27.032798
0.361464   0.002032   -26.919757
0.363035   0.002086   -26.807214
0.364607   0.002140   -26.695166
0.366179   0.002196   -26.583608
0.367750   0.002253   -26.472538
0.369322   0.002311   -26.361949
0.370893   0.002370   -26.251840
0.372465   0.002431   -26.142205
0.374037   0.002493   -26.033040
0.375608   0.002556   -25.924342
0.377180   0.002621   -25.816108
0.378751   0.002686   -25.708333
0.380323   0.002754   -25.601013
0.381894   0.002822   -25.494146
0.383466   0.002892   -25.387727
0.385038   0.002964   -25.281752
0.386609   0.003037   -25.176220
0.388181   0.003111   -25.071125
0.389752   0.003187   -24.966464
0.391324   0.003264   -24.862234
0.392896   0.003343   -24.758433
0.394467   0.003424   -24.655055
0.396039   0.003506   -24.552099
0.397610   0.003590   -24.449561
0.399182   0.003675   -24.347437
0.400753   0.003762   -24.245726
0.402325   0.003851   -24.144422
0.403897   0.003941   -24.043524
0.405468   0.004034   -23.943029
0.407040   0.004128   -23.842933
0.408611   0.004224   -23.743233
0.410183   0.004321   -23.643927
0.411755   0.004421   -23.545012
0.413326   0.004522   -23.446485
0.414898   0.004626   -23.348342
0.416469   0.004731   -23.250582
0.418041   0.004838   -23.153201
0.419612   0.004947   -23.056196
0.421184   0.005059   -22.959566
0.422756   0.005172   -22.863307
0.424327   0.005288   -22.767417
0.425899   0.005405   -22.671893
0.427470   0.005525   -22.576732
0.429042   0.005647   -22.481933
0.430614   0.005771   -22.387492
0.432185   0.005897   -22.293407
0.433757   0.006026   -22.199675
0.435328   0.006157   -22.106294
0.436900   0.006290   -22.013263
0.438471   0.006426   -21.920577
0.440043   0.006564   -21.828236
0.441615   0.006705   -21.736236
0.443186   0.006848   -21.644575
0.444758   0.006993   -21.553252
0.446329   0.007141   -21.462263
0.447901   0.007292   -21.371607
0.449472   0.007445   -21.281281
0.451044   0.007601   -21.191283
0.452616   0.007760   -21.101612
0.454187   0.007921   -21.012264
0.455759   0.008085   -20.923239
0.457330   0.008252   -20.834533
0.458902   0.008421   -20.746144
0.460474   0.008594   -20.658071
0.462045   0.008769   -20.570312
0.463617   0.008948   -20.482865
0.465188   0.009129   -20.395727
0.466760   0.009313   -20.308896
0.468331   0.009501   -20.222372
0.469903   0.009691   -20.136151
0.471475   0.009885   -20.050232
0.473046   0.010082   -19.964613
0.474618   0.010282   -19.879293
0.476189   0.010485   -19.794269
0.477761   0.010692   -19.709539
0.479333   0.010902   -19.625102
0.480904   0.011115   -19.540956
0.482476   0.011332   -19.457099
0.484047   0.011552   -19.373529
0.485619   0.011775   -19.290246
0.487190   0.012003   -19.207246
0.488762   0.012233   -19.124529
0.490334   0.012468   -19.042092
0.491905   0.012706   -18.959934
0.493477   0.012948   -18.878054
0.495048   0.013193   -18.796449
0.496620   0.013443   -18.715118
0.498192   0.013696   -18.634060
0.499763   0.013953   -18.553273
0.501335   0.014214   -18.472755
0.502906   0.014479   -18.392505
0.504478   0.014749   -18.312521
0.506049   0.015022   -18.232802
0.507621   0.015299   -18.153346
0.509193   0.015581   -18.074152
0.510764   0.015866   -17.995218
0.512336   0.016156   -17.916544
0.513907   0.016451   -17.838126
0.515479   0.016750   -17.759965
0.517051   0.017053   -17.682058
0.518622   0.017360   -17.604404
0.520194   0.017673   -17.527002
0.521765   0.017989   -17.449850
0.523337   0.018311   -17.372948
0.524908   0.018637   -17.296293
0.526480   0.018968   -17.219884
0.528052   0.019303   -17.143721
0.529623   0.019644   -17.067801
0.531195   0.019989   -16.992124
0.532766   0.020339   -16.916687
0.534338   0.020694   -16.841491
0.535910   0.021055   -16.766533
0.537481   0.021420   -16.691812
0.539053   0.021791   -16.617328
0.540624   0.022166   -16.543078
0.542196   0.022547   -16.469062
0.543767   0.022934   -16.395279
0.545339   0.023325   -16.321726
0.546911   0.023722   -16.248404
0.548482   0.024125   -16.175311
0.550054   0.024533   -16.102445
0.551625   0.024947   -16.029806
0.553197   0.025367   -15.957392
0.554768   0.025792   -15.885203
0.556340   0.026223   -15.813237
0.557912   0.026659   -15.741493
0.559483   0.027102   -15.669969
0.561055   0.027551   -15.598666
0.562626   0.028005   -15.527582
0.564198   0.028466   -15.456715
0.565770   0.028933   -15.386065
0.567341   0.029406   -15.315631
0.568913   0.029885   -15.245411
0.570484   0.030371   -15.175404
0.572056   0.030863   -15.105611
0.573627   0.031362   -15.036028
0.575199   0.031866   -14.966657
0.576771   0.032378   -14.897494
0.578342   0.032896   -14.828541
0.579914   0.033421   -14.759795
0.581485   0.033953   -14.691255
0.583057   0.034491   -14.622921
0.584629   0.035037   -14.554792
0.586200   0.035589   -14.486866
0.587772   0.036148   -14.419143
0.589343   0.036715   -14.351622
0.590915   0.037288   -14.284302
0.592486   0.037869   -14.217182
0.594058   0.038457   -14.150261
0.595630   0.039052   -14.083538
0.597201   0.039655   -14.017013
0.598773   0.040265   -13.950684
0.600344   0.040883   -13.884551
0.601916   0.041509   -13.818612
0.603488   0.042142   -13.752867
0.605059   0.042783   -13.687315
0.606631   0.043431   -13.621956
0.608202   0.044088   -13.556787
0.609774   0.044753   -13.491809
0.611345   0.045425   -13.427021
0.612917   0.046106   -13.362422
0.614489   0.046795   -13.298010
0.616060   0.047492   -13.233786
0.617632   0.048198   -13.169749
0.619203   0.048911   -13.105897
0.620775   0.049634   -13.042230
0.622347   0.050365   -12.978747
0.623918   0.051104   -12.915447
0.625490   0.051852   -12.852330
0.627061   0.052609   -12.789394
0.628633   0.053375   -12.726640
0.630204   0.054149   -12.664066
0.631776   0.054933   -12.601672
0.633348   0.055726   -12.539456
0.634919   0.056527   -12.477419
0.636491   0.057338   -12.415559
0.638062   0.058158   -12.353876
0.639634   0.058988   -12.292368
0.641206   0.059827   -12.231036
0.642777   0.060675   -12.169879
0.644349   0.061533   -12.108895
0.645920   0.062401   -12.048085
0.647492   0.063278   -11.987447
0.649063   0.064166   -11.926981
0.650635   0.065063   -11.866687
0.652207   0.065970   -11.806562
0.653778   0.066887   -11.746608
0.655350   0.067814   -11.686823
0.656921   0.068751   -11.627206
0.658493   0.069699   -11.567758
0.660064   0.070657   -11.508477
0.661636   0.071625   -11.449362
0.663208   0.072604   -11.390413
0.664779   0.073593   -11.331630
0.666351   0.074593   -11.273012
0.667922   0.075604   -11.214558
0.669494   0.076625   -11.156267
0.671066   0.077658   -11.098140
0.672637   0.078701   -11.040174
0.674209   0.079756   -10.982371
0.675780   0.080822   -10.924729
0.677352   0.081898   -10.867247
0.678923   0.082986   -10.809926
0.680495   0.084086   -10.752764
0.682067   0.085197   -10.695761
0.683638   0.086319   -10.638916
0.685210   0.087453   -10.582229
0.686781   0.088599   -10.525699
0.688353   0.089757   -10.469326
0.689925   0.090926   -10.413110
0.691496   0.092108   -10.357048
0.693068   0.093301   -10.301142
0.694639   0.094506   -10.245390
0.696211   0.095724   -10.189793
0.697782   0.096954   -10.134349
0.699354   0.098196   -10.079057
0.700926   0.099451   -10.023918
0.702497   0.100718   -9.968932
0.704069   0.101998   -9.914096
0.705640   0.103290   -9.859412
0.707212   0.104595   -9.804877
0.708784   0.105913   -9.750493
0.710355   0.107244   -9.696258
0.711927   0.108588   -9.642172
0.713498   0.109945   -9.588235
0.715070   0.111315   -9.534445
0.716641   0.112699   -9.480803
0.718213   0.114096   -9.427308
0.719785   0.115506   -9.373960
0.721356   0.116930   -9.320757
0.722928   0.118367   -9.267701
0.724499   0.119818   -9.214789
0.726071   0.121282   -9.162022
0.727643   0.122761   -9.109399
0.729214   0.124253   -9.056920
0.730786   0.125760   -9.004585
0.732357   0.127280   -8.952392
0.733929   0.128815   -8.900342
0.735500   0.130364   -8.848433
0.737072   0.131927   -8.796667
0.738644   0.133504   -8.745041
0.740215   0.135097   -8.693557
0.741787   0.136703   -8.642212
0.743358   0.138325   -8.591008
0.744930   0.139961   -8.539942
0.746502   0.141611   -8.489016
0.748073   0.143277   -8.438229
0.749645   0.144958   -8.387580
0.751216   0.146654   -8.337069
0.752788   0.148365   -8.286695
0.754359   0.150091   -8.236458
0.755931   0.151832   -8.186358
0.757503   0.153589   -8.136394
0.759074   0.155362   -8.086566
0.760646   0.157149   -8.036873
0.762217   0.158953   -7.987316
0.763789   0.160772   -7.937893
0.765360   0.162607   -7.888604
0.766932   0.164458   -7.839450
0.768504   0.166325   -7.790429
0.770075   0.168208   -7.741541
0.771647   0.170107   -7.692786
0.773218   0.172022   -7.644164
0.774790   0.173953   -7.595674
0.776362   0.175901   -7.547315
0.777933   0.177865   -7.499088
0.779505   0.179846   -7.450992
0.781076   0.181843   -7.403027
0.782648   0.183857   -7.355192
0.784219   0.185888   -7.307487
0.785791   0.187935   -7.259912
0.787363   0.190000   -7.212466
0.788934   0.192081   -7.165149
0.790506   0.194180   -7.117961
0.792077   0.196295   -7.070901
0.793649   0.198428   -7.023969
0.795221   0.200578   -6.977165
0.796792   0.202746   -6.930488
0.798364   0.204930   -6.883938
0.799935   0.207133   -6.837515
0.801507   0.209353   -6.791218
0.803078   0.211590   -6.745047
0.804650   0.213845   -6.699002
0.806222   0.216118   -6.653082
0.807793   0.218409   -6.607288
0.809365   0.220718   -6.561618
0.810936   0.223045   -6.516073
0.812508   0.225390   -6.470652
0.814080   0.227753   -6.425355
0.815651   0.230135   -6.380182
0.817223   0.232534   -6.335132
0.818794   0.234952   -6.290205
0.820366   0.237389   -6.245400
0.821937   0.239844   -6.200718
0.823509   0.242317   -6.156159
0.825081   0.244809   -6.111721
0.826652   0.247320   -6.067405
0.828224   0.249850   -6.023210
0.829795   0.252398   -5.979136
0.831367   0.254966   -5.935183
0.832939   0.257552   -5.891350
0.834510   0.260157   -5.847637
0.836082   0.262782   -5.804045
0.837653   0.265426   -5.760572
0.839225   0.268088   -5.717218
0.840796   0.270771   -5.673984
0.842368   0.273472   -5.630869
0.843940   0.276193   -5.587872
0.845511   0.278934   -5.544993
0.847083   0.281693   -5.502233
0.848654   0.284473   -5.459590
0.850226   0.287272   -5.417065
0.851798   0.290091   -5.374657
0.853369   0.292930   -5.332367
0.854941   0.295788   -5.290193
0.856512   0.298666   -5.248135
0.858084   0.301565   -5.206195
0.859655   0.304483   -5.164370
0.861227   0.307421   -5.122661
0.862799   0.310380   -5.081067
0.864370   0.313358   -5.039589
0.865942   0.316357   -4.998226
0.867513   0.319376   -4.956978
0.869085   0.322415   -4.915845
0.870656   0.325475   -4.874826
0.872228   0.328555   -4.833922
0.873800   0.331655   -4.793131
0.875371   0.334776   -4.752454
0.876943   0.337918   -4.711891
0.878514   0.341080   -4.671440
0.880086   0.344262   -4.631103
0.881658   0.347466   -4.590879
0.883229   0.350690   -4.550768
0.884801   0.353935   -4.510769
0.886372   0.357200   -4.470882
0.887944   0.360487   -4.431107
0.889515   0.363794   -4.391444
0.891087   0.367122   -4.351892
0.892659   0.370471   -4.312452
0.894230   0.373842   -4.273123
0.895802   0.377233   -4.233905
0.897373   0.380645   -4.194798
0.898945   0.384078   -4.155801
0.900517   0.387533   -4.116914
0.902088   0.391008   -4.078138
0.903660   0.394505   -4.039472
0.905231   0.398023   -4.000915
0.906803   0.401563   -3.962468
0.908374   0.405123   -3.924130
0.909946   0.408705   -3.885902
0.911518   0.412308   -3.847782
0.913089   0.415932   -3.809771
0.914661   0.419578   -3.771869
0.916232   0.423246   -3.734075
0.917804   0.426934   -3.696390
0.919376   0.430644   -3.658812
0.920947   0.434376   -3.621342
0.922519   0.438129   -3.583980
0.924090   0.441903   -3.546726
0.925662   0.445700   -3.509578
0.927233   0.449517   -3.472538
0.928805   0.453356   -3.435605
0.930377   0.457217   -3.398778
0.931948   0.461099   -3.362058
0.933520   0.465003   -3.325445
0.935091   0.468928   -3.288938
0.936663   0.472875   -3.252536
0.938235   0.476844   -3.216241
0.939806   0.480834   -3.180051
0.941378   0.484845   -3.143967
0.942949   0.488879   -3.107989
0.944521   0.492934   -3.072115
0.946092   0.497010   -3.036347
0.947664   0.501108   -3.000684
0.949236   0.505228   -2.965125
0.950807   0.509369   -2.929671
0.952379   0.513532   -2.894321
0.953950   0.517717   -2.859076
0.955522   0.521923   -2.823934
0.957094   0.526151   -2.788897
0.958665   0.530400   -2.753963
0.960237   0.534671   -2.719134
0.961808   0.538963   -2.684407
0.963380   0.543277   -2.649784
0.964951   0.547613   -2.615264
0.966523   0.551970   -2.580847
0.968095   0.556348   -2.546533
0.969666   0.560748   -2.512322
0.971238   0.565169   -2.478213
0.972809   0.569612   -2.444207
0.974381   0.574076   -2.410303
0.975952   0.578562   -2.376501
0.977524   0.583069   -2.342801
0.979096   0.587597   -2.309203
0.980667   0.592147   -2.275707
0.982239   0.596717   -2.242312
0.983810   0.601310   -2.209019
0.985382   0.605923   -2.175827
0.986954   0.610557   -2.142737
0.988525   0.615213   -2.109747
0.990097   0.619889   -2.076858
0.991668   0.624587   -2.044070
0.993240   0.629306   -2.011383
0.994811   0.634045   -1.978796
0.996383   0.638806   -1.946310
0.997955   0.643588   -1.913923
0.999526   0.648390   -1.881637
1.001098   0.653213   -1.849451
1.002669   0.658057   -1.817365
1.004241   0.662922   -1.785378
1.005813   0.667807   -1.753491
1.007384   0.672713   -1.721704
1.008956   0.677639   -1.690016
1.010527   0.682586   -1.658427
1.012099   0.687553   -1.626937
1.013670   0.692541   -1.595547
1.015242   0.697549   -1.564255
1.016814   0.702577   -1.533062
1.018385   0.707625   -1.501967
1.019957   0.712694   -1.470971
1.021528   0.717782   -1.440074
1.023100   0.722891   -1.409274
1.024672   0.728019   -1.378573
1.026243   0.733167   -1.347970
1.027815   0.738335   -1.317465
1.029386   0.743523   -1.287058
1.030958   0.748730   -1.256748
1.032529   0.753957   -1.226536
1.034101   0.759203   -1.196422
1.035673   0.764468   -1.166405
1.037244   0.769753   -1.136485
1.038816   0.775057   -1.106662
1.040387   0.780380   -1.076937
1.041959   0.785723   -1.047308
1.043531   0.791084   -1.017776
1.045102   0.796464   -0.988341
1.046674   0.801862   -0.959003
1.048245   0.807279   -0.929761
1.049817   0.812715   -0.900615
1.051388   0.818170   -0.871566
1.052960   0.823642   -0.842613
1.054532   0.829133   -0.813756
1.056103   0.834642   -0.784996
1.057675   0.840169   -0.756331
1.059246   0.845715   -0.727762
1.060818   0.851277   -0.699289
